"year","zone","awards","level","stage","measure","value"
"2011-2012","S01001790","5","6 And Above","S6","Count",0
"2009-2010","S01001790","5","5 And Above","S4","Count",0
"2009-2010","S01001790","5","6 And Above","S6","Count",0
"2009-2010","S01001790","5","6 And Above","S5","Count",0
"2012-2013","S01001790","5","6 And Above","S6","Count",0
"2008-2009","S01001790","5","6 And Above","S6","Count",0
"2008-2009","S01001790","3","6 And Above","S5","Count",0
"2011-2012","S01001790","5","6 And Above","S5","Count",0
"2010-2011","S01001790","5","6 And Above","S6","Count",0
"2012-2013","S01001790","5","3 And Above","S4","Count",0
"2012-2013","S01001790","3","6 And Above","S5","Count",0
"2008-2009","S01001790","5","3 And Above","S4","Count",0
"2008-2009","S01001790","5","6 And Above","S5","Count",0
"2008-2009","S01001790","3","6 And Above","S6","Count",0
"2011-2012","S01001790","5","3 And Above","S4","Count",0
"2010-2011","S01001790","5","6 And Above","S5","Count",0
"2010-2011","S01001790","5","3 And Above","S4","Count",0
"2009-2010","S01001790","5","3 And Above","S4","Count",0
"2012-2013","S01001790","5","6 And Above","S5","Count",0
"2012-2013","S01001790","1","6 And Above","S5","Count",0
"2011-2012","S01001790","5","4 And Above","S4","Count",0
"2010-2011","S01001790","3","6 And Above","S6","Count",0
"2010-2011","S01001790","1","6 And Above","S5","Count",0
"2009-2010","S01001790","1","6 And Above","S5","Count",0
"2010-2011","S01001790","1","7 And Above","S6","Count",0
"2011-2012","S01001790","3","6 And Above","S5","Count",0
"2012-2013","S01001790","5","4 And Above","S4","Count",0
"2009-2010","S01001790","1","7 And Above","S6","Count",0
"2008-2009","S01001790","1","6 And Above","S5","Count",0
"2012-2013","S01001790","1","7 And Above","S6","Count",0
"2008-2009","S01001790","5","4 And Above","S4","Count",0
"2008-2009","S01001790","1","7 And Above","S6","Count",0
"2011-2012","S01001790","1","6 And Above","S5","Count",0
"2010-2011","S01001790","5","4 And Above","S4","Count",0
"2011-2012","S01001790","1","7 And Above","S6","Count",0
"2009-2010","S01001790","5","4 And Above","S4","Count",0
"2009-2010","S01001790","3","6 And Above","S6","Count",0
"2012-2013","S01001790","3","6 And Above","S6","Count",0
"2010-2011","S01001790","5","5 And Above","S4","Count",0
"2008-2009","S01001790","5","5 And Above","S4","Count",0
"2011-2012","S01001790","5","5 And Above","S4","Count",0
"2012-2013","S01001790","5","5 And Above","S4","Count",0
"2010-2011","S01001790","3","6 And Above","S5","Count",0
"2009-2010","S01001790","3","6 And Above","S5","Count",0
"2011-2012","S01001790","3","6 And Above","S6","Count",0
"2009-2010","S01001790","3","6 And Above","S6","Ratio",0
"2008-2009","S01001790","3","6 And Above","S5","Ratio",0
"2011-2012","S01001790","3","6 And Above","S5","Ratio",0
"2009-2010","S01001790","3","6 And Above","S5","Ratio",0
"2008-2009","S01001790","3","6 And Above","S6","Ratio",0
"2010-2011","S01001790","3","6 And Above","S6","Ratio",0
"2010-2011","S01001790","3","6 And Above","S5","Ratio",0
"2011-2012","S01001790","3","6 And Above","S6","Ratio",0
"2008-2009","S01001790","5","6 And Above","S6","Ratio",0
"2010-2011","S01001790","5","6 And Above","S5","Ratio",0
"2011-2012","S01001790","5","6 And Above","S5","Ratio",0
"2008-2009","S01001790","5","4 And Above","S4","Ratio",0
"2011-2012","S01001790","5","4 And Above","S4","Ratio",0
"2010-2011","S01001790","5","4 And Above","S4","Ratio",0
"2009-2010","S01001790","5","4 And Above","S4","Ratio",0
"2009-2010","S01001790","5","5 And Above","S4","Ratio",0
"2008-2009","S01001790","5","5 And Above","S4","Ratio",0
"2010-2011","S01001790","5","5 And Above","S4","Ratio",0
"2011-2012","S01001790","5","5 And Above","S4","Ratio",0
"2009-2010","S01001790","5","6 And Above","S5","Ratio",0
"2008-2009","S01001790","5","6 And Above","S5","Ratio",0
"2009-2010","S01001790","5","6 And Above","S6","Ratio",0
"2011-2012","S01001790","5","6 And Above","S6","Ratio",0
"2010-2011","S01001790","5","6 And Above","S6","Ratio",0
"2011-2012","S01001790","5","3 And Above","S4","Ratio",0
"2008-2009","S01001790","5","3 And Above","S4","Ratio",0
"2009-2010","S01001790","5","3 And Above","S4","Ratio",0
"2010-2011","S01001790","5","3 And Above","S4","Ratio",0
"2009-2010","S01001790","1","6 And Above","S5","Ratio",0
"2011-2012","S01001790","1","7 And Above","S6","Ratio",0
"2010-2011","S01001790","1","7 And Above","S6","Ratio",0
"2011-2012","S01001790","1","6 And Above","S5","Ratio",0
"2008-2009","S01001790","1","6 And Above","S5","Ratio",0
"2010-2011","S01001790","1","6 And Above","S5","Ratio",0
"2008-2009","S01001790","1","7 And Above","S6","Ratio",0
"2009-2010","S01001790","1","7 And Above","S6","Ratio",0
"2011-2012","S01001791","5","6 And Above","S6","Count",0
"2009-2010","S01001791","5","5 And Above","S4","Count",0
"2009-2010","S01001791","5","6 And Above","S6","Count",0
"2009-2010","S01001791","5","6 And Above","S5","Count",0
"2012-2013","S01001791","5","6 And Above","S6","Count",0
"2008-2009","S01001791","5","6 And Above","S6","Count",0
"2008-2009","S01001791","3","6 And Above","S5","Count",0
"2011-2012","S01001791","5","6 And Above","S5","Count",0
"2010-2011","S01001791","5","6 And Above","S6","Count",0
"2012-2013","S01001791","5","3 And Above","S4","Count",0
"2012-2013","S01001791","3","6 And Above","S5","Count",0
"2008-2009","S01001791","5","3 And Above","S4","Count",0
"2008-2009","S01001791","5","6 And Above","S5","Count",0
"2008-2009","S01001791","3","6 And Above","S6","Count",0
"2011-2012","S01001791","5","3 And Above","S4","Count",0
"2010-2011","S01001791","5","6 And Above","S5","Count",0
"2010-2011","S01001791","5","3 And Above","S4","Count",0
"2009-2010","S01001791","5","3 And Above","S4","Count",0
"2012-2013","S01001791","5","6 And Above","S5","Count",0
"2012-2013","S01001791","1","6 And Above","S5","Count",0
"2011-2012","S01001791","5","4 And Above","S4","Count",0
"2010-2011","S01001791","3","6 And Above","S6","Count",0
"2010-2011","S01001791","1","6 And Above","S5","Count",0
"2009-2010","S01001791","1","6 And Above","S5","Count",0
"2010-2011","S01001791","1","7 And Above","S6","Count",0
"2011-2012","S01001791","3","6 And Above","S5","Count",0
"2012-2013","S01001791","5","4 And Above","S4","Count",0
"2009-2010","S01001791","1","7 And Above","S6","Count",0
"2008-2009","S01001791","1","6 And Above","S5","Count",0
"2012-2013","S01001791","1","7 And Above","S6","Count",0
"2008-2009","S01001791","5","4 And Above","S4","Count",0
"2008-2009","S01001791","1","7 And Above","S6","Count",0
"2011-2012","S01001791","1","6 And Above","S5","Count",0
"2010-2011","S01001791","5","4 And Above","S4","Count",0
"2011-2012","S01001791","1","7 And Above","S6","Count",0
"2009-2010","S01001791","5","4 And Above","S4","Count",0
"2009-2010","S01001791","3","6 And Above","S6","Count",0
"2012-2013","S01001791","3","6 And Above","S6","Count",0
"2010-2011","S01001791","5","5 And Above","S4","Count",0
"2008-2009","S01001791","5","5 And Above","S4","Count",0
"2011-2012","S01001791","5","5 And Above","S4","Count",0
"2012-2013","S01001791","5","5 And Above","S4","Count",0
"2010-2011","S01001791","3","6 And Above","S5","Count",0
"2009-2010","S01001791","3","6 And Above","S5","Count",0
"2011-2012","S01001791","3","6 And Above","S6","Count",0
"2009-2010","S01001791","3","6 And Above","S6","Ratio",0
"2008-2009","S01001791","3","6 And Above","S5","Ratio",0
"2011-2012","S01001791","3","6 And Above","S5","Ratio",0
"2009-2010","S01001791","3","6 And Above","S5","Ratio",0
"2008-2009","S01001791","3","6 And Above","S6","Ratio",0
"2010-2011","S01001791","3","6 And Above","S6","Ratio",0
"2010-2011","S01001791","3","6 And Above","S5","Ratio",0
"2011-2012","S01001791","3","6 And Above","S6","Ratio",0
"2008-2009","S01001791","5","6 And Above","S6","Ratio",0
"2010-2011","S01001791","5","6 And Above","S5","Ratio",0
"2011-2012","S01001791","5","6 And Above","S5","Ratio",0
"2008-2009","S01001791","5","4 And Above","S4","Ratio",0
"2011-2012","S01001791","5","4 And Above","S4","Ratio",0
"2010-2011","S01001791","5","4 And Above","S4","Ratio",0
"2009-2010","S01001791","5","4 And Above","S4","Ratio",0
"2009-2010","S01001791","5","5 And Above","S4","Ratio",0
"2008-2009","S01001791","5","5 And Above","S4","Ratio",0
"2010-2011","S01001791","5","5 And Above","S4","Ratio",0
"2011-2012","S01001791","5","5 And Above","S4","Ratio",0
"2009-2010","S01001791","5","6 And Above","S5","Ratio",0
"2008-2009","S01001791","5","6 And Above","S5","Ratio",0
"2009-2010","S01001791","5","6 And Above","S6","Ratio",0
"2011-2012","S01001791","5","6 And Above","S6","Ratio",0
"2010-2011","S01001791","5","6 And Above","S6","Ratio",0
"2011-2012","S01001791","5","3 And Above","S4","Ratio",0
"2008-2009","S01001791","5","3 And Above","S4","Ratio",0
"2009-2010","S01001791","5","3 And Above","S4","Ratio",0
"2010-2011","S01001791","5","3 And Above","S4","Ratio",0
"2009-2010","S01001791","1","6 And Above","S5","Ratio",0
"2011-2012","S01001791","1","7 And Above","S6","Ratio",0
"2010-2011","S01001791","1","7 And Above","S6","Ratio",0
"2011-2012","S01001791","1","6 And Above","S5","Ratio",0
"2008-2009","S01001791","1","6 And Above","S5","Ratio",0
"2010-2011","S01001791","1","6 And Above","S5","Ratio",0
"2008-2009","S01001791","1","7 And Above","S6","Ratio",0
"2009-2010","S01001791","1","7 And Above","S6","Ratio",0
"2011-2012","S01001792","5","6 And Above","S6","Count",0
"2009-2010","S01001792","5","5 And Above","S4","Count",0
"2009-2010","S01001792","5","6 And Above","S6","Count",0
"2009-2010","S01001792","5","6 And Above","S5","Count",0
"2012-2013","S01001792","5","6 And Above","S6","Count",0
"2008-2009","S01001792","5","6 And Above","S6","Count",0
"2008-2009","S01001792","3","6 And Above","S5","Count",0
"2011-2012","S01001792","5","6 And Above","S5","Count",0
"2010-2011","S01001792","5","6 And Above","S6","Count",0
"2012-2013","S01001792","5","3 And Above","S4","Count",0
"2012-2013","S01001792","3","6 And Above","S5","Count",0
"2008-2009","S01001792","5","3 And Above","S4","Count",0
"2008-2009","S01001792","5","6 And Above","S5","Count",0
"2008-2009","S01001792","3","6 And Above","S6","Count",0
"2011-2012","S01001792","5","3 And Above","S4","Count",0
"2010-2011","S01001792","5","6 And Above","S5","Count",0
"2010-2011","S01001792","5","3 And Above","S4","Count",0
"2009-2010","S01001792","5","3 And Above","S4","Count",0
"2012-2013","S01001792","5","6 And Above","S5","Count",0
"2012-2013","S01001792","1","6 And Above","S5","Count",0
"2011-2012","S01001792","5","4 And Above","S4","Count",0
"2010-2011","S01001792","3","6 And Above","S6","Count",0
"2010-2011","S01001792","1","6 And Above","S5","Count",0
"2009-2010","S01001792","1","6 And Above","S5","Count",0
"2010-2011","S01001792","1","7 And Above","S6","Count",0
"2011-2012","S01001792","3","6 And Above","S5","Count",0
"2012-2013","S01001792","5","4 And Above","S4","Count",0
"2009-2010","S01001792","1","7 And Above","S6","Count",0
"2008-2009","S01001792","1","6 And Above","S5","Count",0
"2012-2013","S01001792","1","7 And Above","S6","Count",0
"2008-2009","S01001792","5","4 And Above","S4","Count",0
"2008-2009","S01001792","1","7 And Above","S6","Count",0
"2011-2012","S01001792","1","6 And Above","S5","Count",0
"2010-2011","S01001792","5","4 And Above","S4","Count",0
"2011-2012","S01001792","1","7 And Above","S6","Count",0
"2009-2010","S01001792","5","4 And Above","S4","Count",0
"2009-2010","S01001792","3","6 And Above","S6","Count",0
"2012-2013","S01001792","3","6 And Above","S6","Count",0
"2010-2011","S01001792","5","5 And Above","S4","Count",0
"2008-2009","S01001792","5","5 And Above","S4","Count",0
"2011-2012","S01001792","5","5 And Above","S4","Count",0
"2012-2013","S01001792","5","5 And Above","S4","Count",0
"2010-2011","S01001792","3","6 And Above","S5","Count",0
"2009-2010","S01001792","3","6 And Above","S5","Count",0
"2011-2012","S01001792","3","6 And Above","S6","Count",0
"2009-2010","S01001792","3","6 And Above","S6","Ratio",0
"2008-2009","S01001792","3","6 And Above","S5","Ratio",0
"2011-2012","S01001792","3","6 And Above","S5","Ratio",0
"2009-2010","S01001792","3","6 And Above","S5","Ratio",0
"2008-2009","S01001792","3","6 And Above","S6","Ratio",0
"2010-2011","S01001792","3","6 And Above","S6","Ratio",0
"2010-2011","S01001792","3","6 And Above","S5","Ratio",0
"2011-2012","S01001792","3","6 And Above","S6","Ratio",0
"2008-2009","S01001792","5","6 And Above","S6","Ratio",0
"2010-2011","S01001792","5","6 And Above","S5","Ratio",0
"2011-2012","S01001792","5","6 And Above","S5","Ratio",0
"2008-2009","S01001792","5","4 And Above","S4","Ratio",0
"2011-2012","S01001792","5","4 And Above","S4","Ratio",0
"2010-2011","S01001792","5","4 And Above","S4","Ratio",0
"2009-2010","S01001792","5","4 And Above","S4","Ratio",0
"2009-2010","S01001792","5","5 And Above","S4","Ratio",0
"2008-2009","S01001792","5","5 And Above","S4","Ratio",0
"2010-2011","S01001792","5","5 And Above","S4","Ratio",0
"2011-2012","S01001792","5","5 And Above","S4","Ratio",0
"2009-2010","S01001792","5","6 And Above","S5","Ratio",0
"2008-2009","S01001792","5","6 And Above","S5","Ratio",0
"2009-2010","S01001792","5","6 And Above","S6","Ratio",0
"2011-2012","S01001792","5","6 And Above","S6","Ratio",0
"2010-2011","S01001792","5","6 And Above","S6","Ratio",0
"2011-2012","S01001792","5","3 And Above","S4","Ratio",0
"2008-2009","S01001792","5","3 And Above","S4","Ratio",0
"2009-2010","S01001792","5","3 And Above","S4","Ratio",0
"2010-2011","S01001792","5","3 And Above","S4","Ratio",0
"2009-2010","S01001792","1","6 And Above","S5","Ratio",0
"2011-2012","S01001792","1","7 And Above","S6","Ratio",0
"2010-2011","S01001792","1","7 And Above","S6","Ratio",0
"2011-2012","S01001792","1","6 And Above","S5","Ratio",0
"2008-2009","S01001792","1","6 And Above","S5","Ratio",0
"2010-2011","S01001792","1","6 And Above","S5","Ratio",0
"2008-2009","S01001792","1","7 And Above","S6","Ratio",0
"2009-2010","S01001792","1","7 And Above","S6","Ratio",0
"2011-2012","S01001793","5","6 And Above","S6","Count",1
"2009-2010","S01001793","5","5 And Above","S4","Count",0
"2009-2010","S01001793","5","6 And Above","S6","Count",0
"2009-2010","S01001793","5","6 And Above","S5","Count",0
"2012-2013","S01001793","5","6 And Above","S6","Count",0
"2008-2009","S01001793","5","6 And Above","S6","Count",0
"2008-2009","S01001793","3","6 And Above","S5","Count",0
"2011-2012","S01001793","5","6 And Above","S5","Count",0
"2010-2011","S01001793","5","6 And Above","S6","Count",0
"2012-2013","S01001793","5","3 And Above","S4","Count",0
"2012-2013","S01001793","3","6 And Above","S5","Count",0
"2008-2009","S01001793","5","3 And Above","S4","Count",0
"2008-2009","S01001793","5","6 And Above","S5","Count",0
"2008-2009","S01001793","3","6 And Above","S6","Count",0
"2011-2012","S01001793","5","3 And Above","S4","Count",0
"2010-2011","S01001793","5","6 And Above","S5","Count",0
"2010-2011","S01001793","5","3 And Above","S4","Count",0
"2009-2010","S01001793","5","3 And Above","S4","Count",0
"2012-2013","S01001793","5","6 And Above","S5","Count",0
"2012-2013","S01001793","1","6 And Above","S5","Count",0
"2011-2012","S01001793","5","4 And Above","S4","Count",0
"2010-2011","S01001793","3","6 And Above","S6","Count",0
"2010-2011","S01001793","1","6 And Above","S5","Count",0
"2009-2010","S01001793","1","6 And Above","S5","Count",0
"2010-2011","S01001793","1","7 And Above","S6","Count",0
"2011-2012","S01001793","3","6 And Above","S5","Count",0
"2012-2013","S01001793","5","4 And Above","S4","Count",0
"2009-2010","S01001793","1","7 And Above","S6","Count",0
"2008-2009","S01001793","1","6 And Above","S5","Count",0
"2012-2013","S01001793","1","7 And Above","S6","Count",0
"2008-2009","S01001793","5","4 And Above","S4","Count",0
"2008-2009","S01001793","1","7 And Above","S6","Count",0
"2011-2012","S01001793","1","6 And Above","S5","Count",0
"2010-2011","S01001793","5","4 And Above","S4","Count",0
"2011-2012","S01001793","1","7 And Above","S6","Count",0
"2009-2010","S01001793","5","4 And Above","S4","Count",0
"2009-2010","S01001793","3","6 And Above","S6","Count",0
"2012-2013","S01001793","3","6 And Above","S6","Count",0
"2010-2011","S01001793","5","5 And Above","S4","Count",0
"2008-2009","S01001793","5","5 And Above","S4","Count",0
"2011-2012","S01001793","5","5 And Above","S4","Count",0
"2012-2013","S01001793","5","5 And Above","S4","Count",0
"2010-2011","S01001793","3","6 And Above","S5","Count",0
"2009-2010","S01001793","3","6 And Above","S5","Count",0
"2011-2012","S01001793","3","6 And Above","S6","Count",1
"2009-2010","S01001793","3","6 And Above","S6","Ratio",0
"2008-2009","S01001793","3","6 And Above","S5","Ratio",0
"2011-2012","S01001793","3","6 And Above","S5","Ratio",0
"2009-2010","S01001793","3","6 And Above","S5","Ratio",0
"2008-2009","S01001793","3","6 And Above","S6","Ratio",0
"2010-2011","S01001793","3","6 And Above","S6","Ratio",0
"2010-2011","S01001793","3","6 And Above","S5","Ratio",0
"2011-2012","S01001793","3","6 And Above","S6","Ratio",100
"2008-2009","S01001793","5","6 And Above","S6","Ratio",0
"2010-2011","S01001793","5","6 And Above","S5","Ratio",0
"2011-2012","S01001793","5","6 And Above","S5","Ratio",0
"2008-2009","S01001793","5","4 And Above","S4","Ratio",0
"2011-2012","S01001793","5","4 And Above","S4","Ratio",0
"2010-2011","S01001793","5","4 And Above","S4","Ratio",0
"2009-2010","S01001793","5","4 And Above","S4","Ratio",0
"2009-2010","S01001793","5","5 And Above","S4","Ratio",0
"2008-2009","S01001793","5","5 And Above","S4","Ratio",0
"2010-2011","S01001793","5","5 And Above","S4","Ratio",0
"2011-2012","S01001793","5","5 And Above","S4","Ratio",0
"2009-2010","S01001793","5","6 And Above","S5","Ratio",0
"2008-2009","S01001793","5","6 And Above","S5","Ratio",0
"2009-2010","S01001793","5","6 And Above","S6","Ratio",0
"2011-2012","S01001793","5","6 And Above","S6","Ratio",100
"2010-2011","S01001793","5","6 And Above","S6","Ratio",0
"2011-2012","S01001793","5","3 And Above","S4","Ratio",0
"2008-2009","S01001793","5","3 And Above","S4","Ratio",0
"2009-2010","S01001793","5","3 And Above","S4","Ratio",0
"2010-2011","S01001793","5","3 And Above","S4","Ratio",0
"2009-2010","S01001793","1","6 And Above","S5","Ratio",0
"2011-2012","S01001793","1","7 And Above","S6","Ratio",0
"2010-2011","S01001793","1","7 And Above","S6","Ratio",0
"2011-2012","S01001793","1","6 And Above","S5","Ratio",0
"2008-2009","S01001793","1","6 And Above","S5","Ratio",0
"2010-2011","S01001793","1","6 And Above","S5","Ratio",0
"2008-2009","S01001793","1","7 And Above","S6","Ratio",0
"2009-2010","S01001793","1","7 And Above","S6","Ratio",0
"2009-2010","S01001794","5","5 And Above","S4","Count",0
"2012-2013","S01001794","5","6 And Above","S6","Count",0
"2010-2011","S01001794","5","5 And Above","S4","Count",0
"2009-2010","S01001794","5","6 And Above","S6","Count",0
"2011-2012","S01001794","5","6 And Above","S5","Count",0
"2011-2012","S01001794","3","6 And Above","S6","Count",0
"2012-2013","S01001794","5","6 And Above","S5","Count",0
"2010-2011","S01001794","5","6 And Above","S6","Count",0
"2008-2009","S01001794","5","6 And Above","S6","Count",0
"2010-2011","S01001794","5","6 And Above","S5","Count",0
"2008-2009","S01001794","5","3 And Above","S4","Count",0
"2009-2010","S01001794","3","6 And Above","S6","Count",0
"2009-2010","S01001794","5","3 And Above","S4","Count",0
"2011-2012","S01001794","5","3 And Above","S4","Count",0
"2012-2013","S01001794","5","3 And Above","S4","Count",2
"2008-2009","S01001794","5","6 And Above","S5","Count",0
"2012-2013","S01001794","3","6 And Above","S6","Count",0
"2010-2011","S01001794","5","3 And Above","S4","Count",0
"2009-2010","S01001794","5","6 And Above","S5","Count",0
"2009-2010","S01001794","5","4 And Above","S4","Count",0
"2008-2009","S01001794","3","6 And Above","S6","Count",0
"2010-2011","S01001794","5","4 And Above","S4","Count",0
"2012-2013","S01001794","3","6 And Above","S5","Count",0
"2011-2012","S01001794","1","6 And Above","S5","Count",0
"2009-2010","S01001794","1","6 And Above","S5","Count",0
"2011-2012","S01001794","1","7 And Above","S6","Count",0
"2010-2011","S01001794","3","6 And Above","S5","Count",0
"2011-2012","S01001794","5","4 And Above","S4","Count",0
"2012-2013","S01001794","1","7 And Above","S6","Count",0
"2012-2013","S01001794","1","6 And Above","S5","Count",0
"2008-2009","S01001794","1","6 And Above","S5","Count",0
"2009-2010","S01001794","1","7 And Above","S6","Count",0
"2008-2009","S01001794","5","4 And Above","S4","Count",0
"2012-2013","S01001794","5","4 And Above","S4","Count",0
"2008-2009","S01001794","1","7 And Above","S6","Count",0
"2010-2011","S01001794","1","6 And Above","S5","Count",0
"2008-2009","S01001794","3","6 And Above","S5","Count",0
"2010-2011","S01001794","1","7 And Above","S6","Count",0
"2010-2011","S01001794","3","6 And Above","S6","Count",0
"2008-2009","S01001794","5","5 And Above","S4","Count",0
"2011-2012","S01001794","3","6 And Above","S5","Count",0
"2012-2013","S01001794","5","5 And Above","S4","Count",0
"2009-2010","S01001794","3","6 And Above","S5","Count",0
"2011-2012","S01001794","5","6 And Above","S6","Count",0
"2011-2012","S01001794","5","5 And Above","S4","Count",0
"2010-2011","S01001794","3","6 And Above","S5","Ratio",0
"2011-2012","S01001794","3","6 And Above","S5","Ratio",0
"2008-2009","S01001794","3","6 And Above","S5","Ratio",0
"2009-2010","S01001794","3","6 And Above","S6","Ratio",0
"2011-2012","S01001794","3","6 And Above","S6","Ratio",0
"2009-2010","S01001794","3","6 And Above","S5","Ratio",0
"2008-2009","S01001794","3","6 And Above","S6","Ratio",0
"2010-2011","S01001794","3","6 And Above","S6","Ratio",0
"2010-2011","S01001794","5","6 And Above","S6","Ratio",0
"2011-2012","S01001794","5","6 And Above","S6","Ratio",0
"2009-2010","S01001794","5","6 And Above","S6","Ratio",0
"2010-2011","S01001794","5","6 And Above","S5","Ratio",0
"2008-2009","S01001794","5","6 And Above","S5","Ratio",0
"2009-2010","S01001794","5","4 And Above","S4","Ratio",0
"2010-2011","S01001794","5","4 And Above","S4","Ratio",0
"2012-2013","S01001794","5","4 And Above","S4","Ratio",0
"2008-2009","S01001794","5","4 And Above","S4","Ratio",0
"2011-2012","S01001794","5","5 And Above","S4","Ratio",0
"2012-2013","S01001794","5","5 And Above","S4","Ratio",0
"2009-2010","S01001794","5","5 And Above","S4","Ratio",0
"2008-2009","S01001794","5","5 And Above","S4","Ratio",0
"2010-2011","S01001794","5","5 And Above","S4","Ratio",0
"2009-2010","S01001794","5","6 And Above","S5","Ratio",0
"2011-2012","S01001794","5","6 And Above","S5","Ratio",0
"2008-2009","S01001794","5","6 And Above","S6","Ratio",0
"2012-2013","S01001794","5","3 And Above","S4","Ratio",100
"2010-2011","S01001794","5","3 And Above","S4","Ratio",0
"2008-2009","S01001794","5","3 And Above","S4","Ratio",0
"2011-2012","S01001794","5","3 And Above","S4","Ratio",0
"2009-2010","S01001794","5","3 And Above","S4","Ratio",0
"2011-2012","S01001794","5","4 And Above","S4","Ratio",0
"2009-2010","S01001794","1","6 And Above","S5","Ratio",0
"2011-2012","S01001794","1","7 And Above","S6","Ratio",0
"2011-2012","S01001794","1","6 And Above","S5","Ratio",0
"2008-2009","S01001794","1","6 And Above","S5","Ratio",0
"2009-2010","S01001794","1","7 And Above","S6","Ratio",0
"2010-2011","S01001794","1","6 And Above","S5","Ratio",0
"2010-2011","S01001794","1","7 And Above","S6","Ratio",0
"2008-2009","S01001794","1","7 And Above","S6","Ratio",0
"2011-2012","S01001795","3","6 And Above","S5","Count",1
"2009-2010","S01001795","3","6 And Above","S5","Count",0
"2012-2013","S01001795","3","6 And Above","S5","Count",0
"2010-2011","S01001795","3","6 And Above","S6","Count",0
"2009-2010","S01001795","3","6 And Above","S6","Count",0
"2008-2009","S01001795","3","6 And Above","S6","Count",0
"2008-2009","S01001795","3","6 And Above","S5","Count",0
"2011-2012","S01001795","3","6 And Above","S6","Count",0
"2009-2010","S01001795","5","6 And Above","S6","Count",0
"2012-2013","S01001795","5","6 And Above","S6","Count",1
"2008-2009","S01001795","5","6 And Above","S6","Count",0
"2008-2009","S01001795","5","6 And Above","S5","Count",0
"2011-2012","S01001795","5","6 And Above","S5","Count",0
"2010-2011","S01001795","5","6 And Above","S5","Count",0
"2012-2013","S01001795","5","6 And Above","S5","Count",0
"2011-2012","S01001795","5","4 And Above","S4","Count",1
"2012-2013","S01001795","5","4 And Above","S4","Count",1
"2010-2011","S01001795","5","4 And Above","S4","Count",0
"2008-2009","S01001795","5","4 And Above","S4","Count",0
"2010-2011","S01001795","5","5 And Above","S4","Count",0
"2011-2012","S01001795","5","5 And Above","S4","Count",1
"2009-2010","S01001795","5","5 And Above","S4","Count",0
"2012-2013","S01001795","5","5 And Above","S4","Count",0
"2008-2009","S01001795","5","5 And Above","S4","Count",0
"2009-2010","S01001795","5","6 And Above","S5","Count",0
"2011-2012","S01001795","5","6 And Above","S6","Count",0
"2010-2011","S01001795","5","6 And Above","S6","Count",0
"2012-2013","S01001795","5","3 And Above","S4","Count",1
"2009-2010","S01001795","5","3 And Above","S4","Count",0
"2008-2009","S01001795","5","3 And Above","S4","Count",0
"2011-2012","S01001795","5","3 And Above","S4","Count",1
"2010-2011","S01001795","5","3 And Above","S4","Count",0
"2009-2010","S01001795","5","4 And Above","S4","Count",0
"2012-2013","S01001795","1","7 And Above","S6","Count",1
"2012-2013","S01001795","1","6 And Above","S5","Count",0
"2009-2010","S01001795","1","6 And Above","S5","Count",0
"2009-2010","S01001795","1","7 And Above","S6","Count",0
"2010-2011","S01001795","1","6 And Above","S5","Count",0
"2011-2012","S01001795","1","7 And Above","S6","Count",0
"2010-2011","S01001795","1","7 And Above","S6","Count",0
"2011-2012","S01001795","1","6 And Above","S5","Count",1
"2008-2009","S01001795","1","6 And Above","S5","Count",0
"2008-2009","S01001795","1","7 And Above","S6","Count",0
"2012-2013","S01001795","3","6 And Above","S6","Count",1
"2010-2011","S01001795","3","6 And Above","S5","Count",0
"2012-2013","S01001795","3","6 And Above","S6","Ratio",100
"2008-2009","S01001795","3","6 And Above","S5","Ratio",0
"2011-2012","S01001795","3","6 And Above","S5","Ratio",100
"2009-2010","S01001795","3","6 And Above","S6","Ratio",0
"2008-2009","S01001795","1","7 And Above","S6","Ratio",0
"2010-2011","S01001795","5","5 And Above","S4","Ratio",0
"2010-2011","S01001795","3","6 And Above","S5","Ratio",0
"2009-2010","S01001795","5","5 And Above","S4","Ratio",0
"2008-2009","S01001795","5","5 And Above","S4","Ratio",0
"2011-2012","S01001795","5","3 And Above","S4","Ratio",100
"2008-2009","S01001795","3","6 And Above","S6","Ratio",0
"2009-2010","S01001795","3","6 And Above","S5","Ratio",0
"2012-2013","S01001795","5","5 And Above","S4","Ratio",0
"2011-2012","S01001795","5","5 And Above","S4","Ratio",100
"2011-2012","S01001795","3","6 And Above","S6","Ratio",0
"2011-2012","S01001795","1","6 And Above","S5","Ratio",100
"2010-2011","S01001795","3","6 And Above","S6","Ratio",0
"2009-2010","S01001795","1","6 And Above","S5","Ratio",0
"2011-2012","S01001795","5","6 And Above","S6","Ratio",0
"2009-2010","S01001795","5","6 And Above","S6","Ratio",0
"2010-2011","S01001795","5","6 And Above","S5","Ratio",0
"2012-2013","S01001795","5","6 And Above","S6","Ratio",100
"2008-2009","S01001795","5","6 And Above","S5","Ratio",0
"2008-2009","S01001795","5","6 And Above","S6","Ratio",0
"2008-2009","S01001795","1","6 And Above","S5","Ratio",0
"2010-2011","S01001795","5","6 And Above","S6","Ratio",0
"2010-2011","S01001795","1","7 And Above","S6","Ratio",0
"2011-2012","S01001795","5","6 And Above","S5","Ratio",0
"2008-2009","S01001795","5","3 And Above","S4","Ratio",0
"2012-2013","S01001795","5","3 And Above","S4","Ratio",100
"2009-2010","S01001795","5","6 And Above","S5","Ratio",0
